baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	2786.88800935832	-0.0167493595548303	0.375495642223175	-0.0446060024975612	0.964421358122809	0.985848534974745
ENSMUSG00000000028	170.189197074716	0.152866248969338	0.396404460913993	0.385632009833777	0.699769223105918	0.846116983072523
ENSMUSG00000000031	23728.7513822214	-1.86299724654058	0.43477237385527	-4.28499453638412	1.8274367911243e-05	0.00135026519183594
ENSMUSG00000000037	57.0241968443202	1.19162556194725	0.373618023241272	3.18942205092107	0.00142557579299926	0.0234796890588302
ENSMUSG00000000049	893.170829373723	5.27732999593903	1.80739686536742	2.9198512496403	NA	NA
ENSMUSG00000000056	2634.35810587529	-0.913665780523474	0.189381276967787	-4.82447787422453	1.40370498124517e-06	0.000182353203968818
ENSMUSG00000000058	2832.5530953434	0.123345452858235	0.404285416735636	0.305094984266748	0.760293811183998	0.883132911131505
ENSMUSG00000000078	3188.25715097413	0.0987090593102842	0.120527746142225	0.81897374230997	0.412801394812981	0.642423847041291
ENSMUSG00000000085	847.510414137474	-0.0186173526257112	0.304549229257225	-0.0611308479457252	0.951255001976125	0.980357684867525
ENSMUSG00000000088	7185.58018133179	-1.38580376949482	0.411402531295065	-3.36848624905737	0.000755821671821814	0.0159307651634468
ENSMUSG00000000093	95.5473691873956	0.382764385691757	0.538699116444895	0.710534645420959	0.477372654491667	0.695850174180079
ENSMUSG00000000094	71.5089784446111	-0.742608885752341	0.436586129991628	-1.70094475004641	0.0889533624310687	0.274000054193234
ENSMUSG00000000120	255.91015534624	1.7435424837113	0.552715453897008	3.15450286656213	0.00160771798933771	0.0252427394789945
ENSMUSG00000000125	461.597992197188	0.360445218443532	0.567625544377087	0.635005281235335	0.52542497058173	0.731275591014808
ENSMUSG00000000126	238.818039475209	-0.710249393035512	0.369582065435059	-1.92176368785491	0.0546354993693454	0.210735944933917
ENSMUSG00000000127	724.436273345508	-0.12430151844387	0.213680907405872	-0.581715605539656	0.56075825821947	0.756456572578402
ENSMUSG00000000131	1729.84336535823	0.342098864561262	0.281598371548448	1.21484674318298	0.224424549133866	0.462916390471639
ENSMUSG00000000134	884.565831027589	0.0840945193656555	0.192532508741	0.436780883994929	0.662270263649043	0.822842426921679
ENSMUSG00000000142	656.907815747748	1.06929030437846	0.35110486751295	3.04550122575279	0.00232292831603545	0.0317248217841173
ENSMUSG00000000148	432.251224982169	0.380152717638043	0.232065998570816	1.63812329242208	0.101395976978933	0.295592026757594
ENSMUSG00000000149	1415.81523206048	-0.204982061537494	0.276860868968039	-0.740379318686445	0.459069864185705	0.681388441532004
ENSMUSG00000000154	190.823331866974	0.939621218446969	0.507898817867107	1.85001654934511	0.0643111643747889	0.229446904166811
ENSMUSG00000000157	0.859156327909421	2.29451596368431	2.6143485491286	0.877662607171911	0.380126842561012	NA
ENSMUSG00000000159	10.1483998114284	4.34499245619601	1.93193055400687	2.24904174075222	NA	NA
ENSMUSG00000000167	22.672558258905	0.120518905983162	0.401486343158889	0.300181831927135	0.764038462442778	0.885519858460234
