baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000069919	7586.33115914734	-3.46540713289017	0.879378038925472	-3.94074786894226	8.12279684307394e-05	0.0266827429630818
ENSMUSG00000072476	21.366491530202	-4.10100463766336	0.857437461942594	-4.78286151432222	1.72817192818545e-06	0.00170307228827609
ENSMUSG00000073940	2811.2483193544	-3.89196356080243	0.998653953748872	-3.89720938488482	9.73074838948466e-05	0.0296143879294684
ENSMUSG00000074272	472.564457875243	-1.95685903346723	0.390906652841903	-5.00594967939484	5.5587278644652e-07	0.000766919154367382
ENSMUSG00000078606	806.396956492032	-2.55134469988259	0.624715784546157	-4.08400870123058	4.42653721288802e-05	0.0172843750227769
ENSMUSG00000078853	1713.27892528278	-1.95277845658938	0.43708698023979	-4.46771133635247	7.90608910807963e-06	0.00527795206747445
ENSMUSG00000078922	628.045998444262	-2.88530138582913	0.743172829958794	-3.88240967580732	0.000103426438797407	0.0310204369697442
ENSMUSG00000079362	288.038439370062	-1.92181891316287	0.371409866199324	-5.17438842653547	2.28658697979367e-07	0.000364007058052539
ENSMUSG00000079363	1911.85992928542	-2.65658484049223	0.528688242321202	-5.02486083070151	5.03797737257377e-07	0.000744721012324386
ENSMUSG00000083116	9.79533984365563	-6.73482342634229	1.48999361352028	-4.52003509627836	6.1829380486389e-06	0.00456985367559222
ENSMUSG00000086513	16.3766196487535	-2.84627051786799	0.71812960591355	-3.96344962584738	7.38744574155931e-05	0.0250628179707492
ENSMUSG00000089714	14.3275212684065	-7.28445114151193	1.52998474733156	-4.7611266414366	1.92515188529564e-06	0.00173221818548666
ENSMUSG00000089724	444.931112449155	25.4086855655636	3.90685908706101	6.50360942111112	7.84153354321588e-11	5.40935122256175e-07
ENSMUSG00000091694	369.164270285724	-8.31777018673819	1.49109066567797	-5.57831282711185	2.42862608365051e-08	7.78560285829225e-05
ENSMUSG00000099241	45.1357381092946	-2.82301389320536	0.677286109633579	-4.16812607412346	3.07114062935938e-05	0.0129708684335903
ENSMUSG00000103953	9.43105078967595	-6.67824952914942	1.47383646387683	-4.53120118332717	5.86492517094275e-06	0.00449535653380223
ENSMUSG00000104713	557.016989022646	-1.7330945013926	0.306528335431414	-5.65394549562084	1.56805953568276e-08	6.49019841819093e-05
ENSMUSG00000105338	96.6597356214226	-2.05105942466592	0.383802990378146	-5.34404232401913	9.08963295629672e-08	0.000171009049118692
ENSMUSG00000105504	530.487089173065	-2.32763973478816	0.421657486341601	-5.52021441616821	3.38586256219523e-08	7.78560285829225e-05
ENSMUSG00000108112	51.5632216970033	-1.59850444816081	0.415074888375818	-3.85112299714333	0.0001175774250915	0.0333323946886108
ENSMUSG00000109628	119.989392774898	-6.66168394746606	1.60368604323929	-4.15398261745181	3.26738006862275e-05	0.0132585157882643
ENSMUSG00000121860	43.7319040076068	7.90512124771849	1.98404630558156	3.98434312015785	6.76670420883399e-05	0.023735075186749
