baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000031	19901.8541249633	-2.42406953708812	0.573986388611488	-4.22321780652693	2.40838868043579e-05	0.000906591390900037
ENSMUSG00000000037	73.6974408866242	1.39504517366647	0.435807553800695	3.20105780980669	0.00136924058003685	0.0171017926046941
ENSMUSG00000000049	30.9277636605027	-2.15493132938813	0.660510506816468	-3.26252392225292	0.00110424852514572	0.0147248030211483
ENSMUSG00000000056	2474.45597195424	-1.06068773819703	0.206645928121282	-5.13287509625886	2.85349283750244e-07	3.22514449307908e-05
ENSMUSG00000000088	6585.90329254415	-1.52038355960743	0.360885926772527	-4.21292005815942	2.52090303545954e-05	0.000931966540465001
ENSMUSG00000000094	49.8319174886545	-2.44263716850073	0.318047801059175	-7.68009450266963	1.58971272387745e-14	3.51664492325279e-11
ENSMUSG00000000126	231.508647962765	-0.793326958087419	0.195249751502799	-4.06313939957075	4.84170949066144e-05	0.00154486025228311
ENSMUSG00000000171	6795.81569750517	-0.898987813250234	0.313348240624957	-2.86897354667525	0.00411806238637924	0.0358975847708278
ENSMUSG00000000184	5058.05079982947	1.0283438451463	0.284411881143398	3.61568525552494	0.000299554160349795	0.00591645113451149
ENSMUSG00000000214	257.440933523152	-2.00555347051524	0.513227317629967	-3.90772938544403	9.3167573476813e-05	0.00251967497366542
ENSMUSG00000000247	283.201302191724	2.99842783420132	0.866171814502552	3.46170099742087	0.000536773137987315	0.00899632653314783
ENSMUSG00000000253	2528.31322373133	-1.88024196033095	0.369447242859233	-5.08933818474146	3.59315317731523e-07	3.85536979755744e-05
ENSMUSG00000000266	852.305682580234	0.905362341591646	0.245676087629515	3.68518707020829	0.000228534719864724	0.00483219534736479
ENSMUSG00000000276	442.965534240297	0.638065888397862	0.213402575648639	2.98996338942234	0.00279010886027852	0.0279320201849556
ENSMUSG00000000296	877.754317791913	-1.25648316032337	0.39892122460497	-3.14970245458261	0.00163436824271107	0.0193548465046723
ENSMUSG00000000399	5699.31556854831	-1.08679458476782	0.257111401387009	-4.22694045812444	2.36890319232511e-05	0.000897343641112447
ENSMUSG00000000402	78.2289810891424	1.69038349941737	0.511093509628481	3.30738596278815	0.000941710449751293	0.0131027251901765
ENSMUSG00000000435	38.3290350926635	-1.77427131050375	0.383758268958646	-4.6234086768172	3.77484971965441e-06	0.000229900448970939
ENSMUSG00000000439	1324.5108818493	-0.709610355018764	0.198865084766587	-3.56830036731511	0.000359304463672929	0.00678297436372406
ENSMUSG00000000552	2492.13637033749	-0.78127688475979	0.201916449152028	-3.86930776586481	0.00010914479749137	0.00279142054692729
ENSMUSG00000000563	10524.2278280256	-0.960621775014555	0.289381654139096	-3.31956694999338	0.000901571835641148	0.0127758006742324
ENSMUSG00000000567	492.114522827904	2.24407358482757	0.822394550138905	2.72870678003464	0.00635832127293982	0.0482024690915047
ENSMUSG00000000628	5188.26908725756	-1.20525918211271	0.275236308353601	-4.37899777584682	1.19226348672915e-05	0.00054356376235879
ENSMUSG00000000632	10.4868379147946	1.9217143483398	0.598271002462295	3.21211347437972	0.00131762320270713	0.0167104176268559
