baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	3935.59834899949	0.68316963637692	0.284914599567712	2.39780494721387	0.0164936455437511	0.091442419862724
ENSMUSG00000000028	221.937099336683	0.620135552314271	0.339128846012427	1.82861340049954	0.0674575437819571	0.21720802668181
ENSMUSG00000000031	19901.8541249633	-2.42406953708812	0.573986388611488	-4.22321780652693	2.40838868043579e-05	0.000906591390900037
ENSMUSG00000000037	73.6974408866242	1.39504517366647	0.435807553800695	3.20105780980669	0.00136924058003685	0.0171017926046941
ENSMUSG00000000049	30.9277636605027	-2.15493132938813	0.660510506816468	-3.26252392225292	0.00110424852514572	0.0147248030211483
ENSMUSG00000000056	2474.45597195424	-1.06068773819703	0.206645928121282	-5.13287509625886	2.85349283750244e-07	3.22514449307908e-05
ENSMUSG00000000058	4793.92792578147	1.13065933120361	0.539543793194639	2.09558398310724	0.0361191112804622	0.148817963587959
ENSMUSG00000000078	3686.60445089886	0.302681797632138	0.167679736734196	1.80511851656796	0.0710561381134932	0.224947721989869
ENSMUSG00000000085	724.822397061655	-0.623607977765569	0.239429318869829	-2.60455979538833	0.00919923673385459	0.0619069988953592
ENSMUSG00000000088	6585.90329254415	-1.52038355960743	0.360885926772527	-4.21292005815942	2.52090303545954e-05	0.000931966540465001
ENSMUSG00000000093	70.2111968997524	-0.700281831591542	0.321639648723752	-2.17722483645975	0.0294637960797721	0.131500984653785
ENSMUSG00000000094	49.8319174886545	-2.44263716850073	0.318047801059175	-7.68009450266963	1.58971272387745e-14	3.51664492325279e-11
ENSMUSG00000000120	161.50200045869	0.457617999390233	0.600176170841095	0.762472789862552	0.445777877108506	0.656179801366522
ENSMUSG00000000125	576.918239040336	0.685102721782894	0.624128009220369	1.09769584390018	0.272337325190803	0.49413886456024
ENSMUSG00000000126	231.508647962765	-0.793326958087419	0.195249751502799	-4.06313939957075	4.84170949066144e-05	0.00154486025228311
ENSMUSG00000000127	781.901479627945	-0.03200952064579	0.19866739879996	-0.161121154447795	0.871997979080564	0.939282592939516
ENSMUSG00000000131	1514.73963591631	-0.208281243586852	0.220261283496042	-0.945609869700931	0.34434760834085	0.566270565530067
ENSMUSG00000000134	965.732547623708	0.152696759065593	0.150738630382689	1.01299022472165	0.311064830119385	0.534084144538858
ENSMUSG00000000142	600.123471411966	0.585575080711326	0.441455598835908	1.32646427467553	0.184685961024867	0.394346578571145
ENSMUSG00000000148	434.703747407168	0.185201576318338	0.183320884456529	1.01025901586382	0.312371211205475	0.535052826796786
ENSMUSG00000000149	1753.13863486567	0.255065060654075	0.245981505948304	1.03692779532653	0.299769508951517	0.52274418338518
ENSMUSG00000000154	167.726077823569	0.369596794182621	0.281606089819975	1.31246023272756	0.189364895375427	0.400371988948376
ENSMUSG00000000159	0.589680959846717	-2.27564311172939	2.47856145571778	-0.918130598085322	0.358550497423578	NA
ENSMUSG00000000167	32.7805143543537	0.827657283023675	0.326468773697557	2.53518054314874	0.0112389385223535	0.0708390909213586
