baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000385	147.016177365623	3.65745306389044	1.07372487538323	3.40632237153399	0.000658443811273686	0.0304005210536986
ENSMUSG00000000402	63.8753111734892	1.43890604297154	0.450051377920364	3.19720394951475	0.00138766774195996	0.048259750058455
ENSMUSG00000000876	1912.22930711652	0.832190832518424	0.232339435042548	3.58178899921154	0.000341249362828391	0.02008402499965
ENSMUSG00000001158	1642.97591923757	-1.18753733702705	0.338957445849118	-3.50349978019266	0.000459187034488943	0.0244098358309097
ENSMUSG00000001827	244.907284420089	5.8264213180649	1.33886941041531	4.35174728225181	1.35056882581547e-05	0.00203755182784823
ENSMUSG00000002020	224.202662515191	2.1263199026571	0.631139978947935	3.36901475676049	0.000754373899315058	0.032321904090053
ENSMUSG00000002409	1105.37242562234	-0.848821101123138	0.242942915105163	-3.49391173130407	0.000475998370415757	0.0248714953400409
ENSMUSG00000002588	212.852957398961	-3.46843304190372	0.964714984897284	-3.59529301006246	0.000324026673808682	0.0197255825614817
ENSMUSG00000003545	4620.37278479404	7.0057241681954	0.748981393766326	9.35366916521975	8.46587433961675e-21	6.04548086592032e-17
ENSMUSG00000005716	145256.097364723	-2.14193623152195	0.507364936748421	-4.22168753964178	2.42480087486176e-05	0.00320657463840516
ENSMUSG00000005899	858.14046370847	0.586476026172669	0.184431311598925	3.1799157154402	0.0014731789399411	0.0497637760970584
ENSMUSG00000005980	629.93613585948	11.2136436415319	2.36056891964444	4.75039874845973	2.03015926482081e-06	0.000448722415441204
ENSMUSG00000006269	69.1261213546045	6.92798792483758	1.72421116533255	4.01806232562086	5.86786784641059e-05	0.00589594079308943
ENSMUSG00000006435	2442.62313059472	-0.956732825832819	0.275521809387087	-3.47243954284825	0.000515751161425367	0.0262445062499184
ENSMUSG00000006463	289.94226411763	0.568602540027866	0.170202578917613	3.34073986213276	0.000835554711549391	0.034598315150108
ENSMUSG00000007034	65.5792171397161	4.48471838004731	1.291811682987	3.47165027156086	0.000517269734480228	0.0262518887618009
ENSMUSG00000007805	170.515954892522	-1.11871537684788	0.311746490486894	-3.58854200764423	0.000332532418939395	0.0198606563178898
ENSMUSG00000009145	92.0579117563927	1.27242725860277	0.341267702932171	3.72853114335192	0.000192599109772735	0.0138924266958293
ENSMUSG00000010095	2846.32074166464	0.878617610606534	0.216349001420712	4.06111239172292	4.88394511776866e-05	0.0052314378128979
ENSMUSG00000010311	24.134060678673	3.63628027953151	1.03565167846654	3.5111035448865	0.000446250542497744	0.0239000634298229
ENSMUSG00000010492	908.994932938276	-1.10826239889288	0.294058888545261	-3.76884509213636	0.000164004626205303	0.0122848640111756
ENSMUSG00000014846	5265.21162223032	-1.4738232220025	0.414983445572919	-3.55152292874663	0.000383008619802233	0.0217091637602957
ENSMUSG00000015085	1077.57131270339	-0.646787821543242	0.197952071271325	-3.26739607920907	0.00108541707554197	0.0413752491269316
ENSMUSG00000015401	774.962351434004	10.5224618230556	2.17302664780868	4.84230685052421	1.28340367179851e-06	0.000318361603074847
ENSMUSG00000015647	2791.9217394941	1.75094264166575	0.458181116107862	3.82150765299886	0.000132638297050113	0.0108042214361391
ENSMUSG00000015745	865.450747097359	-1.03299518224518	0.255976247929906	-4.03551185158416	5.44833891589336e-05	0.00569079733605455
ENSMUSG00000015970	1174.06577980251	1.62855076662091	0.494025197712582	3.29649332495866	0.000978999409927687	0.0384122790455693
ENSMUSG00000017002	77.5940376216085	3.05703038519474	0.87899520382681	3.47786924420701	0.000505416404869556	0.0260277299075012
ENSMUSG00000017300	213566.07061664	-1.24253407587085	0.369317761493471	-3.36440378834262	0.000767092242829274	0.0326708093799832
ENSMUSG00000017453	231.280147760053	5.15656616862696	1.35964078994372	3.79259449022593	0.000149081495006942	0.0116561053559625
ENSMUSG00000018168	24.852292829814	2.50448719468148	0.779669667258477	3.21224141435168	0.00131703652058091	0.0467908347933745
ENSMUSG00000018217	6458.94184601064	-1.34992412648137	0.309736486880915	-4.35829869472363	1.31077410350535e-05	0.00200576525852822
ENSMUSG00000018707	8227.89372341937	0.777369913922652	0.242860411234801	3.20089186199672	0.001370029383606	0.0480252196338599
ENSMUSG00000019194	6651.04181560012	-1.26845608066582	0.344506857346745	-3.68194726350286	0.000231459295990876	0.0156916218291536
ENSMUSG00000019464	27.3114892229562	1.69523690097435	0.506030349484018	3.3500696207311	0.000807912511602457	0.0338706648455175
ENSMUSG00000019777	2026.59047866151	-0.628822627653145	0.177482204217922	-3.54301790663498	0.000395575841286997	0.0220114837607567
ENSMUSG00000019797	1403.10836741353	-1.1219262829279	0.330453815871364	-3.39510766419666	0.000686016177434675	0.0310784877860959
ENSMUSG00000019850	746.769043811206	1.6266047456937	0.320196718478636	5.08001691404665	3.77401265136854e-07	0.000109257666257119
ENSMUSG00000019960	1104.17814620124	1.58322223680001	0.427673585878053	3.70194066007024	0.000213956664849657	0.014785785906691
ENSMUSG00000020124	4297.97144143351	-0.739259718614201	0.217777703465024	-3.39456109074513	0.00068738702232122	0.0310784877860959
ENSMUSG00000020251	360.228218367813	-1.67595440523745	0.48125079032244	-3.48249694117813	0.000496760895911426	0.0256504730490382
ENSMUSG00000020307	4061.53585426334	-1.1741532918784	0.366133386626613	-3.20690036682127	0.00134173456659231	0.0472762822699129
ENSMUSG00000020326	18316.0523082975	-1.15379387484012	0.347307407408625	-3.3221113348804	0.000893390386819691	0.0363861259635708
ENSMUSG00000020423	4999.56603232208	2.29069462065191	0.616651159101008	3.71473334128071	0.000203418088653045	0.0142412605007
